Time,PID,%usr,%system,%guest,%CPU,CPU,minflt/s,majflt/s,VSZ (KB),RSS (KB),%MEM,Command
02:44:20,2953,69.61,8.82,0.00,78.43,0,11805.88,0.00,688240,68968,0.14,snort
02:44:21,2953,99.00,1.00,0.00,100.00,0,2333.00,0.00,697480,78188,0.16,snort
02:44:22,2953,100.00,0.00,0.00,100.00,0,350.00,0.00,698932,79712,0.17,snort
02:44:23,2953,99.00,0.00,0.00,99.00,0,404.00,0.00,700516,81296,0.17,snort
02:44:24,2953,100.00,1.00,0.00,101.00,0,323.00,0.00,701836,82616,0.17,snort
02:44:25,2953,99.00,0.00,0.00,99.00,0,257.00,0.00,702892,83672,0.17,snort
02:44:26,2953,100.00,0.00,0.00,100.00,0,213.00,0.00,703684,84464,0.17,snort
02:44:27,2953,100.00,1.00,0.00,101.00,0,173.00,0.00,704344,85300,0.18,snort
02:44:28,2953,100.00,0.00,0.00,100.00,0,148.00,0.00,705004,85828,0.18,snort
02:44:29,2953,100.00,0.00,0.00,100.00,0,138.00,0.00,705532,86356,0.18,snort
02:44:30,2953,100.00,0.00,0.00,100.00,0,131.00,0.00,706060,86884,0.18,snort
02:44:31,2953,99.00,1.00,0.00,100.00,0,123.00,0.00,706588,87412,0.18,snort
02:44:32,2953,100.00,0.00,0.00,100.00,0,101.00,0.00,706984,87736,0.18,snort
02:44:33,2953,99.00,0.00,0.00,99.00,0,93.00,0.00,707248,88136,0.18,snort
02:44:34,2953,99.00,1.00,0.00,100.00,0,2282.00,0.00,712292,97284,0.20,snort
02:44:35,2953,92.00,5.00,0.00,97.00,0,5349.00,0.00,809912,132968,0.28,snort
02:44:36,2953,98.00,1.00,0.00,99.00,0,4211.00,0.00,826808,149864,0.31,snort
02:44:37,2953,97.00,3.00,0.00,100.00,0,8611.00,0.00,861260,184184,0.38,snort
02:44:38,2953,100.00,0.00,0.00,100.00,0,0.00,0.00,861260,184184,0.38,snort
02:44:39,2953,99.00,1.00,0.00,100.00,0,905.00,0.00,864824,187880,0.39,snort
02:44:40,2953,95.00,6.00,0.00,101.00,0,6915.00,0.00,892544,215600,0.45,snort
02:44:41,2953,99.00,0.00,0.00,99.00,0,222.00,0.00,900748,216364,0.45,snort
02:44:42,2953,99.00,1.00,0.00,100.00,0,306.00,0.00,900748,219460,0.45,snort
02:44:43,2953,100.00,1.00,0.00,101.00,0,47.00,0.00,900748,219724,0.45,snort
02:44:44,2953,99.00,1.00,0.00,100.00,0,14.00,0.00,900748,219724,0.45,snort
02:44:45,2953,100.00,0.00,0.00,100.00,0,13.00,0.00,900748,219988,0.46,snort
02:44:46,2953,99.00,1.00,0.00,100.00,0,10.00,0.00,900748,219988,0.46,snort
02:44:47,2953,99.00,1.00,0.00,100.00,0,7.00,0.00,900748,219988,0.46,snort
02:44:48,2953,99.00,1.00,0.00,100.00,0,7.00,0.00,900748,219988,0.46,snort
02:44:49,2953,97.03,0.99,0.00,98.02,0,5.94,0.00,900748,219988,0.46,snort
02:44:50,2953,100.00,1.00,0.00,101.00,0,10.00,0.00,900748,219988,0.46,snort
02:44:51,2953,99.00,1.00,0.00,100.00,0,8.00,0.00,900748,222036,0.46,snort
02:44:52,2953,99.00,1.00,0.00,100.00,0,4.00,0.00,900748,222036,0.46,snort
02:44:53,2953,99.00,0.00,0.00,99.00,0,9.00,0.00,900748,222036,0.46,snort
02:44:54,2953,100.00,1.00,0.00,101.00,0,8.00,0.00,900748,222296,0.46,snort
02:44:55,2953,99.00,1.00,0.00,100.00,0,5.00,0.00,900748,222296,0.46,snort
02:44:56,2953,99.00,1.00,0.00,100.00,0,8.00,0.00,900748,222296,0.46,snort
02:44:57,2953,100.00,0.00,0.00,100.00,0,9.00,0.00,900748,222296,0.46,snort
02:44:58,2953,100.00,0.00,0.00,100.00,0,8.00,0.00,900748,222296,0.46,snort
02:44:59,2953,99.00,1.00,0.00,100.00,0,11.00,0.00,900748,222296,0.46,snort
02:45:00,2953,99.00,1.00,0.00,100.00,0,9.00,0.00,900748,222296,0.46,snort
02:45:01,2953,100.00,0.00,0.00,100.00,0,6.00,0.00,900748,222296,0.46,snort
02:45:02,2953,99.00,1.00,0.00,100.00,0,11.00,0.00,900748,222560,0.46,snort
02:45:03,2953,99.00,1.00,0.00,100.00,0,10.00,0.00,900748,224608,0.46,snort
02:45:04,2953,100.00,1.00,0.00,101.00,0,9.00,0.00,900748,224608,0.46,snort
02:45:05,2953,99.00,0.00,0.00,99.00,0,19.00,0.00,900748,224608,0.46,snort
02:45:06,2953,98.02,0.99,0.00,99.01,0,23.76,0.00,900748,226912,0.47,snort
02:45:07,2953,100.00,1.00,0.00,101.00,0,21.00,0.00,900748,226912,0.47,snort
02:45:08,2953,99.00,1.00,0.00,100.00,0,20.00,0.00,900748,228960,0.47,snort
02:45:09,2953,99.00,0.00,0.00,99.00,0,6.00,0.00,900748,228960,0.47,snort
02:45:10,2953,100.00,1.00,0.00,101.00,0,6.00,0.00,900748,228960,0.47,snort
02:45:11,2953,99.00,1.00,0.00,100.00,0,6.00,0.00,900748,228960,0.47,snort
02:45:12,2953,100.00,0.00,0.00,100.00,0,6.00,0.00,900748,229220,0.47,snort
02:45:13,2953,99.00,0.00,0.00,99.00,0,6.00,0.00,900748,229220,0.47,snort
02:45:14,2953,99.00,1.00,0.00,100.00,0,8.00,0.00,900748,229220,0.47,snort
02:45:15,2953,99.00,1.00,0.00,100.00,0,9.00,0.00,900748,229220,0.47,snort
02:45:16,2953,99.00,2.00,0.00,101.00,0,8.00,0.00,900748,231268,0.48,snort
02:45:17,2953,99.00,1.00,0.00,100.00,0,6.00,0.00,900748,231268,0.48,snort
02:45:18,2953,99.00,0.00,0.00,99.00,0,7.00,0.00,900748,231268,0.48,snort
02:45:19,2953,100.00,1.00,0.00,101.00,0,7.00,0.00,900748,231268,0.48,snort
02:45:20,2953,99.01,0.00,0.00,99.01,0,11.88,0.00,900748,231528,0.48,snort
02:45:21,2953,99.00,1.00,0.00,100.00,0,8.00,0.00,900748,231528,0.48,snort
02:45:22,2953,99.00,1.00,0.00,100.00,0,9.00,0.00,900748,231528,0.48,snort
02:45:23,2953,100.00,1.00,0.00,101.00,0,9.00,0.00,900748,231528,0.48,snort
02:45:24,2953,99.00,0.00,0.00,99.00,0,7.00,0.00,900748,231528,0.48,snort
02:45:25,2953,100.00,0.00,0.00,100.00,0,13.00,0.00,900748,231528,0.48,snort
02:45:26,2953,99.00,1.00,0.00,100.00,0,10.00,0.00,900748,233576,0.48,snort
02:45:27,2953,100.00,1.00,0.00,101.00,0,8.00,0.00,900748,233576,0.48,snort
02:45:28,2953,98.00,1.00,0.00,99.00,0,8.00,0.00,900748,233836,0.48,snort
02:45:29,2953,99.00,1.00,0.00,100.00,0,9.00,0.00,900748,233836,0.48,snort
02:45:30,2953,99.00,1.00,0.00,100.00,0,7.00,0.00,900748,233836,0.48,snort
02:45:31,2953,100.00,1.00,0.00,101.00,0,11.00,0.00,900748,233836,0.48,snort
