Time,PID,%usr,%system,%guest,%CPU,CPU,minflt/s,majflt/s,VSZ (KB),RSS (KB),%MEM,Command
02:43:30,2681,25.96,229.81,0.00,255.77,10,10279.81,0.00,3031196,60036,0.12,suricata
02:43:31,2681,24.00,257.00,0.00,281.00,12,934.00,0.00,3031196,63732,0.13,suricata
02:43:32,2681,27.00,255.00,0.00,282.00,1,463.00,0.00,3031196,65580,0.14,suricata
02:43:33,2681,32.00,239.00,0.00,271.00,11,629.00,0.00,3031196,67956,0.14,suricata
02:43:34,2681,32.00,242.00,0.00,274.00,12,806.00,0.00,3031196,71388,0.15,suricata
02:43:35,2681,32.00,240.00,0.00,272.00,21,293.00,0.00,3031196,72708,0.15,suricata
02:43:36,2681,44.00,211.00,0.00,255.00,1,1046.00,0.00,3031196,76668,0.16,suricata
02:43:37,2681,43.00,215.00,0.00,258.00,0,733.00,0.00,3031196,79572,0.16,suricata
02:43:38,2681,49.00,202.00,0.00,251.00,11,1144.00,0.00,3031196,84324,0.17,suricata
02:43:39,2681,43.00,219.00,0.00,262.00,0,1087.00,0.00,3031196,88548,0.18,suricata
02:43:40,2681,46.00,205.00,0.00,251.00,0,1212.00,0.00,3096732,93564,0.19,suricata
02:43:41,2681,45.00,215.00,0.00,260.00,2,959.00,0.00,3096732,97260,0.20,suricata
02:43:42,2681,38.00,231.00,0.00,269.00,0,628.00,0.00,3096732,99900,0.21,suricata
02:43:43,2681,38.00,238.00,0.00,276.00,19,522.00,0.00,3096732,102012,0.21,suricata
02:43:44,2681,39.00,227.00,0.00,266.00,2,880.00,0.00,3096732,105444,0.22,suricata
02:43:45,2681,41.00,223.00,0.00,264.00,3,914.00,0.00,3096732,109140,0.23,suricata
02:43:46,2681,35.00,234.00,0.00,269.00,5,832.00,0.00,3096732,112308,0.23,suricata
02:43:47,2681,38.00,230.00,0.00,268.00,1,864.00,0.00,3096732,116004,0.24,suricata
02:43:48,2681,36.00,241.00,0.00,277.00,4,545.00,0.00,3096732,118116,0.24,suricata
02:43:49,2681,39.00,241.00,0.00,280.00,16,496.00,0.00,3096732,119964,0.25,suricata
02:43:50,2681,42.00,231.00,0.00,273.00,0,673.00,0.00,3096732,122868,0.25,suricata
02:43:51,2681,40.00,232.00,0.00,272.00,1,722.00,0.00,3096732,125508,0.26,suricata
02:43:52,2681,42.00,226.00,0.00,268.00,0,641.00,0.00,3096732,128148,0.27,suricata
02:43:53,2681,57.00,196.00,0.00,253.00,1,1202.00,0.00,3162268,132900,0.28,suricata
02:43:54,2681,42.00,220.00,0.00,262.00,15,554.00,0.00,3162268,135276,0.28,suricata
02:43:55,2681,40.00,231.00,0.00,271.00,4,415.00,0.00,3162268,136860,0.28,suricata
02:43:56,2681,39.00,236.00,0.00,275.00,13,468.00,0.00,3162268,138708,0.29,suricata
02:43:57,2681,40.00,228.00,0.00,268.00,13,597.00,0.00,3162268,141084,0.29,suricata
02:43:58,2681,51.00,210.00,0.00,261.00,1,554.00,0.00,3162268,143196,0.30,suricata
02:43:59,2681,40.00,226.00,0.00,266.00,7,276.00,0.00,3162268,144252,0.30,suricata
02:44:00,2681,44.00,207.00,0.00,251.00,3,455.00,0.00,3162268,146100,0.30,suricata
02:44:01,2681,43.00,220.00,0.00,263.00,22,227.00,0.00,3162268,147156,0.30,suricata
02:44:02,2681,39.00,236.00,0.00,275.00,2,320.00,0.00,3162268,148476,0.31,suricata
02:44:03,2681,40.00,242.00,0.00,282.00,6,227.00,0.00,3162268,149268,0.31,suricata
02:44:04,2681,41.00,235.00,0.00,276.00,1,219.00,0.00,3162268,150324,0.31,suricata
02:44:05,2681,38.00,239.00,0.00,277.00,21,73.00,0.00,3162268,150588,0.31,suricata
02:44:06,2681,49.00,223.00,0.00,272.00,2,139.00,0.00,3162268,150840,0.31,suricata
02:44:07,2681,46.00,215.00,0.00,261.00,5,154.00,0.00,3162268,151632,0.31,suricata
02:44:08,2681,44.00,229.00,0.00,273.00,15,118.00,0.00,3162268,152160,0.32,suricata
02:44:09,2681,41.00,232.00,0.00,273.00,0,171.00,0.00,3162268,152876,0.32,suricata
02:44:10,2681,41.00,230.00,0.00,271.00,17,96.00,0.00,3162268,153140,0.32,suricata
02:44:11,2681,45.00,232.00,0.00,277.00,0,148.00,0.00,3162268,153640,0.32,suricata
02:44:12,2681,39.00,237.00,0.00,276.00,1,236.00,0.00,3162268,154696,0.32,suricata
02:44:13,2681,37.62,241.58,0.00,279.21,1,164.36,0.00,3162268,155224,0.32,suricata
02:44:14,2681,39.00,232.00,0.00,271.00,2,96.00,0.00,3162268,155488,0.32,suricata
02:44:15,2681,39.00,234.00,0.00,273.00,1,125.00,0.00,3162268,156280,0.32,suricata
02:44:16,2681,43.00,228.00,0.00,271.00,0,64.00,0.00,3162268,156280,0.32,suricata
02:44:17,2681,37.00,236.00,0.00,273.00,4,82.00,0.00,3162268,156808,0.32,suricata
02:44:18,2681,49.00,211.00,0.00,260.00,9,589.00,0.00,2865516,146700,0.30,suricata
