time,k-pps,pps
12:12:32,5.157,5157
12:12:39,4.651,4651
12:12:44,5.579,5579
12:12:46,7.879,7879
12:12:49,8.655,8655
12:12:52,8.611,8611
12:12:57,7.296,7296
12:13:00,9.360,9360
12:13:01,17.395,17395
12:13:03,11.482,11482
12:13:07,6.886,6886
12:13:10,7.212,7212
12:13:12,8.255,8255
12:13:15,7.465,7465
12:13:21,5.753,5753
12:13:25,7.509,7509
12:13:28,8.645,8645
12:13:33,6.716,6716
12:13:39,6.141,6141
12:13:41,8.967,8967
12:13:44,4.774,4774
12:13:46,5.186,5186
12:13:49,7.715,7715
12:13:52,8.786,8786
12:13:55,10.658,10658
12:13:57,9.114,9114
12:13:59,8.852,8852
12:14:02,7.575,7575
12:14:05,7.158,7158
12:14:07,9.417,9417
12:14:09,9.337,9337
12:14:11,7.719,7719
12:14:14,7.408,7408
12:14:17,7.088,7088
12:14:21,7.383,7383
12:14:24,7.927,7927
12:14:26,8.678,8678
12:14:33,4.783,4783
12:14:37,7.142,7142
12:14:41,7.782,7782
12:14:44,7.575,7575
12:14:48,8.453,8453
12:14:51,9.705,9705
12:14:53,9.560,9560
12:14:58,6.404,6404
12:15:02,5.888,5888
12:15:04,8.108,8108
12:15:07,7.451,7451
12:15:10,6.747,6747
12:15:14,6.778,6778
12:15:17,7.089,7089
12:15:20,10.158,10158
12:15:23,7.803,7803
12:15:25,9.994,9994
12:15:28,10.342,10342
12:15:31,9.168,9168
12:15:33,9.896,9896
12:15:36,7.885,7885
12:15:39,7.679,7679
12:15:42,5.833,5833
12:15:45,7.123,7123
12:15:48,7.844,7844
12:15:50,7.808,7808
12:15:52,8.862,8862
12:15:55,8.385,8385
12:15:58,7.664,7664
12:16:01,7.610,7610
12:16:03,6.833,6833
12:16:06,7.839,7839
12:16:10,8.708,8708
12:16:12,7.718,7718
12:16:15,9.280,9280
12:16:17,10.500,10500
12:16:20,6.038,6038
12:16:22,7.820,7820
12:16:25,9.471,9471
12:16:27,11.409,11409
12:16:30,8.467,8467
