time,packet count,PPS
02:43:30,0,0
02:43:31,0,0
02:43:32,0,0
02:43:33,28267,28267
02:43:34,28267,0
02:43:35,56504,28237
02:43:36,56504,0
02:43:37,56504,0
02:43:38,100938,44434
02:43:39,100938,0
02:43:40,100938,0
02:43:41,143884,42946
02:43:42,143884,0
02:43:43,143884,0
02:43:44,186136,42252
02:43:45,186136,0
02:43:46,186136,0
02:43:47,227067,40931
02:43:48,227067,0
02:43:49,227067,0
02:43:49,268433,41366
02:43:50,268433,0
02:43:51,268433,0
02:43:52,268433,0
02:43:53,309969,41536
02:43:54,309969,0
02:43:55,309969,0
02:43:55,352103,42134
02:43:56,352103,0
02:43:57,352103,0
02:43:58,352103,0
02:43:59,394435,42332
02:44:00,394435,0
02:44:01,394435,0
02:44:02,438577,44142
02:44:03,438577,0
02:44:04,438577,0
02:44:05,481697,43120
02:44:06,481697,0
02:44:07,481697,0
02:44:08,524749,43052
02:44:09,524749,0
02:44:10,524749,0
02:44:11,568250,43501
02:44:12,568250,0
02:44:13,568250,0
02:44:14,610458,42208
02:44:15,610458,0
02:44:16,610458,0
02:44:17,655308,44850
02:44:18,655308,0
02:44:18,694353,39045
